City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,hanmer springs,-42.5167,172.8167,4.12,92,100,0.56,NZ,2023-03-29 15:40:57
334,manali,13.1667,80.2667,29.05,82,2,6.8,IN,2023-03-29 15:40:58
335,bereda,43.2686,-7.5406,22.86,27,50,5.27,ES,2023-03-29 15:40:58
336,flagstaff,35.1981,-111.6513,8.11,32,0,6.17,US,2023-03-29 15:40:58
337,macara,-4.3833,-79.95,27.6,73,99,1.79,EC,2023-03-29 15:40:58
338,sao miguel do araguaia,-13.275,-50.1628,30.24,59,85,2.86,BR,2023-03-29 15:39:24
339,belmonte,-15.8631,-38.8828,27.43,70,68,3.68,BR,2023-03-29 15:40:59
340,phalaborwa,-23.943,31.1411,32.6,29,13,3.25,ZA,2023-03-29 15:40:59
341,ishigaki,24.3448,124.1572,22.07,94,75,4.12,JP,2023-03-29 15:40:59
342,cartagena del chaira,1.3349,-74.8429,32.09,53,88,0.59,CO,2023-03-29 15:41:00
343,touros,-5.1989,-35.4608,30.21,61,41,5.22,BR,2023-03-29 15:41:00
344,tubuala,9.5167,-79.0333,26.94,75,34,6.54,PA,2023-03-29 15:41:00
345,sterling,39.0062,-77.4286,13.41,50,20,3.6,US,2023-03-29 15:40:10
346,kefamenanu,-9.4467,124.4781,21.46,95,100,1.17,ID,2023-03-29 15:41:01
347,gobabis,-22.45,18.9667,29.52,16,0,3.57,,2023-03-29 15:41:01
348,hualmay,-11.0964,-77.6139,27.05,66,46,4.17,PE,2023-03-29 15:41:01
349,nanortalik,60.1432,-45.2371,-2.42,84,62,2.49,GL,2023-03-29 15:41:02
350,melioratorov,57.2107,65.6077,-1.79,50,0,1.0,RU,2023-03-29 15:41:02
351,shingu,33.7333,135.9833,9.12,69,91,2.55,JP,2023-03-29 15:41:02
352,verkhnyaya toyma,62.2349,44.9985,-0.66,82,98,4.81,RU,2023-03-29 15:41:03
353,arman,59.7,150.1667,-12.58,95,96,2.96,RU,2023-03-29 15:31:49
354,madimba,-10.4,40.3333,26.62,94,75,5.14,TZ,2023-03-29 15:41:03
355,vologda,59.2187,39.8886,3.78,83,100,7.4,RU,2023-03-29 15:41:04
356,lewiston,44.1003,-70.2148,6.9,46,0,4.63,US,2023-03-29 15:31:18
357,coihueco,-36.6167,-71.8333,16.41,48,0,6.69,CL,2023-03-29 15:41:04
358,sabha,27.0377,14.4283,26.76,17,0,6.8,LY,2023-03-29 15:41:05
359,manacor,39.5696,3.2096,20.28,58,5,3.89,ES,2023-03-29 15:41:05
360,zorritos,-3.6805,-80.6782,29.16,74,99,3.15,PE,2023-03-29 15:41:05
361,la ronge,55.1001,-105.2842,-11.86,52,75,0.0,CA,2023-03-29 15:41:06
362,manado,1.487,124.8455,25.43,94,40,1.03,ID,2023-03-29 15:41:06
363,komsomolskiy,40.4272,71.7189,19.4,37,100,3.09,UZ,2023-03-29 15:41:06
364,moerai,-22.4333,-151.3333,26.45,75,100,4.25,PF,2023-03-29 15:41:07
365,yulara,-25.2406,130.9889,21.72,40,80,6.7,AU,2023-03-29 15:41:07
366,malakal,9.5334,31.6605,35.45,11,18,1.28,SS,2023-03-29 15:41:08
367,vidim,56.4088,103.1106,2.48,96,100,3.38,RU,2023-03-29 15:41:08
368,shelburne,44.0787,-80.2041,5.5,74,87,9.27,CA,2023-03-29 15:41:08
369,coihaique,-45.5752,-72.0662,6.97,70,75,1.54,CL,2023-03-29 15:37:11
370,sao jose da coroa grande,-8.8978,-35.1478,28.17,71,70,5.18,BR,2023-03-29 15:41:09
371,romitan,39.9343,64.3814,21.97,40,0,1.03,UZ,2023-03-29 15:41:09
372,puksoozero,62.5903,40.6066,0.69,88,100,4.96,RU,2023-03-29 15:41:09
373,vengerovo,55.6848,76.7471,-3.88,77,71,6.53,RU,2023-03-29 15:41:10
374,giyani,-23.3025,30.7187,27.04,37,13,2.66,ZA,2023-03-29 15:41:10
375,yamethin,20.4333,96.15,29.08,32,70,0.32,MM,2023-03-29 15:41:11
376,port blair,11.6667,92.75,29.02,74,40,1.03,IN,2023-03-29 15:41:11
377,ola,59.5833,151.2833,-14.8,97,93,2.41,RU,2023-03-29 15:41:11
